year,Base case cost,Manley hot springs (mccloud ranch creek)
2021,94629.4547829,386953.735829
2022,97386.8799578,383377.184278
2023,98582.3509999,378547.250715
2024,100000.272477,374075.008412
2025,101142.931545,369459.574879
2026,103461.05712,366021.019468
2027,104811.763358,361868.561662
2028,106143.265242,357819.90038
2029,108354.166507,354685.713697
2030,109031.119988,350304.967511
2031,111231.618894,347349.713308
2032,113097.641967,344214.373252
2033,115545.396932,341727.490422
2034,117668.278241,339022.420163
2035,118857.347831,335615.28805
2036,121249.890279,333385.808575
2037,122101.28331,329884.624487
2038,124425.010155,327740.197877
2039,126168.60547,325237.960276
2040,128441.120704,323229.614011
2041,128093.041786,319116.254092
2042,127396.88395,314743.064028
2043,127048.805033,310804.133291
2044,126352.647197,306601.284251
2045,126004.568279,302828.702208
2046,125308.410443,298788.303037
2047,124960.331525,295174.363453
2048,124612.252607,291636.96745
2049,123916.094772,287826.24216
2050,123916.094772,284784.672382
2051,123916.094772,281814.389401
2052,123916.094772,278913.722414
2053,123916.094772,276081.039834
2054,123916.094772,273314.748232
2055,123916.094772,270613.291592
2056,123916.094772,267975.150343
2057,123916.094772,265398.840522
2058,123916.094772,262882.912986
2059,123916.094772,260425.952482
2060,123916.094772,258026.576982
2061,123916.094772,255683.436865
2062,123916.094772,253395.214076
2063,123916.094772,251160.621514
2064,123916.094772,248978.402222
2065,123916.094772,246847.328713
2066,123916.094772,244766.202191
2067,123916.094772,242733.85211
2068,123916.094772,240749.135217
2069,123916.094772,238810.935147
2070,123916.094772,236918.161634
