year,Base case cost,Modeled water and wastewater efficiency
2017,9284.89861962,11594.0429368
2018,9686.45769704,11748.6423505
2019,10290.7290296,12044.5154458
2020,10527.3605583,12092.0219321
2021,10671.2853506,12078.7848915
2022,10755.6195552,12027.3173212
2023,10762.8525337,11925.5666831
2024,10770.1363933,11826.3434494
2025,10778.9806598,11730.6480128
2026,10849.1056813,11679.4083734
2027,10868.3136917,11595.6792903
2028,10887.8493426,11514.4415587
2029,10938.8818934,11456.9163548
2030,10928.9224541,11359.9423142
2031,11006.4182753,11324.947682
