year,Base case cost,Modeled biomass for heat (cordwood)
2017,265804.648937,298792.93605
2018,286274.772599,315508.507115
2019,315849.896262,339987.66642
2020,329479.149924,350913.126317
2021,334737.153172,354048.723112
2022,342183.216042,359727.099397
2023,346628.68812,362872.397406
2024,346278.970575,361237.066829
2025,350665.473446,364352.176437
2026,357269.827108,369359.571819
2027,356650.251148,367496.050109
2028,360977.00481,370592.101215
2029,366757.958473,374928.984112
2030,369632.712928,376824.899507
2031,370864.728552,376524.657235
2032,376565.813006,380818.678906
2033,382988.208253,385732.623183
2034,389404.092708,390651.543304
2035,393667.837163,393768.992349
2036,394377.841995,393004.204771
