year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,304680
2004,,0,0,0,0,0,300840
2005,,0,0,0,0,0,292296
2006,,0,0,0,0,0,283440
2007,,0,0,0,0,0,277680
2008,,0,0,0,0,0,304800
2009,,0,0,0,0,0,324840
2010,,0,0,0,0,0,376532
2011,,0,0,0,0,0,455637
2012,,0,0,0,0,0,485746
2013,,0,0,0,0,0,438066
2014,start of forecast,0,0,0,0,0,420000
2015,,0,0,0,0,0,417000
2016,,0,0,0,0,0,415000
2017,,0,0,0,0,0,413000
2018,,0,0,0,0,0,411000
2019,,0,0,0,0,0,409000
2020,,0,0,0,0,0,407000
2021,,0,0,0,0,0,405000
2022,,0,0,0,0,0,403000
2023,,0,0,0,0,0,400000
2024,,0,0,0,0,0,398000
2025,,0,0,0,0,0,395000
2026,,0,0,0,0,0,393000
2027,,0,0,0,0,0,391000
2028,,0,0,0,0,0,389000
2029,,0,0,0,0,0,388000
2030,,0,0,0,0,0,386000
2031,,0,0,0,0,0,384000
2032,,0,0,0,0,0,382000
2033,,0,0,0,0,0,381000
2034,,0,0,0,0,0,379000
2035,,0,0,0,0,0,377000
2036,,0,0,0,0,0,376000
2037,,0,0,0,0,0,374000
2038,,0,0,0,0,0,372000
2039,,0,0,0,0,0,371000
2040,,0,0,0,0,0,369000
