year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1170.46227123,760.8004763
2018,1162.08079284,755.352515348
2019,1154.02939754,750.1191084
2020,1146.05641067,744.936666937
2021,1137.70604892,739.508931799
2022,1128.74582852,733.684788538
2023,1118.9942586,727.346268092
2024,1109.42774357,721.128033321
2025,1100.19528687,715.126936467
2026,1092.38364045,710.049366292
2027,1084.54375602,704.953441415
2028,1076.87508163,699.968803062
2029,1069.30126501,695.045822254
2030,1062.13251296,690.386133423
2031,1055.88711624,686.326625558
