year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,75927.0,63480.444683
2018,75919.0,63472.444683
2019,75911.0,63464.444683
2020,75903.0,63456.444683
2021,74872.0,62425.444683
2022,74863.0,62416.444683
2023,74853.0,62406.444683
2024,73821.0,61374.444683
2025,73812.0,61365.444683
2026,73804.0,61357.444683
2027,72774.0,60327.444683
2028,72766.0,60319.444683
2029,72758.0,60311.444683
2030,72751.0,60304.444683
2031,71723.0,59276.444683
2032,71716.0,59269.444683
2033,71710.0,59263.444683
2034,71703.0,59256.444683
2035,71696.0,59249.444683
2036,70667.0,58220.444683
