year,Base case diesel consumed,Manley hot springs (mccloud ranch creek)
2021,32407.3475284,27668.2575558
2022,32247.3112443,27508.2212717
2023,32007.2568182,27268.1668456
2024,31847.2205341,27108.1305615
2025,31607.1661079,26868.0761354
2026,31447.1298238,26708.0398513
2027,31287.0935398,26548.0035672
2028,31127.0572557,26387.9672831
2029,31047.0391136,26307.9491411
2030,30887.0028295,26147.912857
2031,30726.9665454,25987.8765729
2032,30566.9302613,25827.8402888
2033,30486.9121193,25747.8221467
2034,30326.8758352,25587.7858627
2035,30166.8395511,25427.7495786
2036,30086.8214091,25347.7314365
2037,29926.785125,25187.6951524
2038,29766.7488409,25027.6588683
2039,29686.7306988,24947.6407263
2040,29526.6944148,24787.6044422
2041,29446.6762727,24707.5863002
2042,29286.6399886,24547.5500161
2043,29206.6218466,24467.531874
2044,29046.5855625,24307.4955899
2045,28966.5674204,24227.4774479
2046,28806.5311363,24067.4411638
2047,28726.5129943,23987.4230217
2048,28646.4948523,23907.4048797
2049,28486.4585682,23747.3685956
2050,28486.4585682,23747.3685956
2051,28486.4585682,23747.3685956
2052,28486.4585682,23747.3685956
2053,28486.4585682,23747.3685956
2054,28486.4585682,23747.3685956
2055,28486.4585682,23747.3685956
2056,28486.4585682,23747.3685956
2057,28486.4585682,23747.3685956
2058,28486.4585682,23747.3685956
2059,28486.4585682,23747.3685956
2060,28486.4585682,23747.3685956
2061,28486.4585682,23747.3685956
2062,28486.4585682,23747.3685956
2063,28486.4585682,23747.3685956
2064,28486.4585682,23747.3685956
2065,28486.4585682,23747.3685956
2066,28486.4585682,23747.3685956
2067,28486.4585682,23747.3685956
2068,28486.4585682,23747.3685956
2069,28486.4585682,23747.3685956
2070,28486.4585682,23747.3685956
