year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,33047.49,1170.46,43421.67,31334.7
2018,32887.46,1162.08,43421.67,31334.7
2019,32727.42,1154.03,43421.67,31334.7
2020,32567.38,1146.06,43421.67,31334.7
2021,32407.35,1137.71,43421.67,30312.16
2022,32247.31,1128.75,43421.67,30312.16
2023,32007.26,1118.99,43421.67,30312.16
2024,31847.22,1109.43,43421.67,29289.61
2025,31607.17,1100.2,43421.67,29289.61
2026,31447.13,1092.38,43421.67,29289.61
2027,31287.09,1084.54,43421.67,28267.07
2028,31127.06,1076.88,43421.67,28267.07
2029,31047.04,1069.3,43421.67,28267.07
2030,30887.0,1062.13,43421.67,28267.07
2031,30726.97,1055.89,43421.67,27244.52
2032,30566.93,1049.12,43421.67,27244.52
2033,30486.91,1042.5,43421.67,27244.52
2034,30326.88,1035.73,43421.67,27244.52
2035,30166.84,1029.05,43421.67,27244.52
2036,30086.82,1022.59,43421.67,26221.98
2037,29926.79,1015.81,43421.67,26221.98
2038,29766.75,1009.55,43421.67,26221.98
2039,29686.73,1003.38,43421.67,26221.98
2040,29526.69,997.39,43421.67,26221.98
