year,Base case diesel consumed,Modeled diesel efficiency
2019,32727.4200966,29752.2000878
2020,32567.3838125,29606.7125568
2021,32407.3475284,29461.2250258
2022,32247.3112443,29315.7374948
2023,32007.2568182,29097.5061983
2024,31847.2205341,28952.0186673
2025,31607.1661079,28733.7873708
2026,31447.1298238,28588.2998399
2027,31287.0935398,28442.8123089
2028,31127.0572557,28297.3247779
2029,31047.0391136,28224.5810124
2030,30887.0028295,28079.0934814
2031,30726.9665454,27933.6059504
2032,30566.9302613,27788.1184194
2033,30486.9121193,27715.3746539
2034,30326.8758352,27569.8871229
2035,30166.8395511,27424.3995919
2036,30086.8214091,27351.6558264
2037,29926.785125,27206.1682954
2038,29766.7488409,27060.6807644
