year,Base case cost,Modeled biomass for heat (cordwood)
2017,170901.550062,223758.804191
2018,190865.620062,237426.211763
2019,217484.380062,256041.941521
2020,230793.760062,264837.780437
2021,239666.680062,270376.519951
2022,247060.780062,274845.377573
2023,251497.240062,277149.893517
2024,255194.290062,278930.363528
2025,260370.160062,281827.096235
2026,266285.440062,285292.618966
2027,270721.900062,287685.574414
2028,275158.360062,290099.359599
2029,280334.230062,293080.434784
2030,283291.870062,294440.529352
2031,289207.150062,298007.816993
2032,,
2033,,
2034,,
2035,,
2036,,
