year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,73941.0,52770.2316178
2018,73941.0,52770.2316178
2019,73941.0,52770.2316178
2020,73941.0,52770.2316178
2021,73941.0,52770.2316178
2022,73941.0,52770.2316178
2023,73941.0,52770.2316178
2024,73941.0,52770.2316178
2025,73941.0,52770.2316178
2026,73941.0,52770.2316178
2027,73941.0,52770.2316178
2028,73941.0,52770.2316178
2029,73941.0,52770.2316178
2030,73941.0,52770.2316178
2031,73941.0,52770.2316178
2032,,
2033,,
2034,,
2035,,
2036,,
