year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4631.33860187,3010.37009122
2018,4632.75265373,3011.28922493
2019,4633.17998956,3011.56699321
2020,4633.50502606,3011.77826694
2021,4633.88936378,3012.02808646
2022,4633.57585282,3011.82430433
2023,4632.92143411,3011.39893217
2024,4631.7118999,3010.61273494
2025,4630.49777707,3009.8235551
2026,4629.34076911,3009.07149992
2027,4628.5349798,3008.54773687
2028,4627.79181171,3008.06467761
2029,4623.78753578,3005.46189825
2030,4620.4971957,3003.3231772
2031,4618.02022965,3001.71314927
