year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,10704.52,171115.72,14415.57,15287.47,349444.98,51810.89
2018,11958.63,191057.21,16409.05,15385.45,351572.74,54298.29
2019,13627.68,217645.88,17838.15,15511.09,354409.76,54736.45
2020,14462.67,230940.21,18552.7,15574.31,355828.27,54955.53
2021,15019.93,239803.1,19029.07,15617.05,356773.94,55101.59
2022,15482.27,247188.84,19426.04,15650.44,357562.0,55223.3
2023,15758.06,251620.28,19664.23,15668.83,358034.84,55296.32
2024,15985.53,255313.15,18669.12,15681.81,358428.87,53142.89
2025,16305.48,260483.17,18930.3,15701.66,358980.51,53224.68
2026,16671.75,266391.76,19228.8,15725.14,359610.96,53318.16
2027,16946.56,270823.21,19452.67,15742.96,360083.79,53388.26
2028,17221.51,275254.65,19676.54,15760.99,360556.63,53458.37
2029,17530.27,280424.67,18663.02,15770.88,361108.27,51309.32
2030,17702.62,283378.96,18802.73,15772.94,361423.49,51354.11
2031,18062.57,289287.56,17778.81,15791.63,362053.94,49207.0
2032,,,18071.68,,,49303.4
2033,,,18332.0,,,49389.08
2034,,,18624.87,,,49485.48
2035,,,18787.58,,,49539.03
2036,,,19080.44,,,49635.43
