year,Base case cost,Modeled biomass for heat (pellet)
2017,170901.550062,215574.515305
2018,190865.620062,229255.491019
2019,217484.380062,247699.076332
2020,230793.760062,256656.997252
2021,239666.680062,262461.37742
2022,247060.780062,267222.729069
2023,251497.240062,269885.357506
2024,255194.290062,272032.086412
2025,260370.160062,275245.746105
2026,266285.440062,278998.364125
2027,270721.900062,281706.569715
2028,275158.360062,284425.509875
2029,280334.230062,287682.635326
2030,283291.870062,289366.891116
2031,289207.150062,293171.953514
2032,,
2033,,
2034,,
2035,,
2036,,
