year,Base case diesel consumed,Modeled residential energy efficiency
2017,3731.183074,2727.42588158
2018,3969.73304258,2965.97585015
2019,3969.73304258,2965.97585015
2020,3969.73304258,2965.97585015
2021,3969.73304258,2965.97585015
2022,3969.73304258,2965.97585015
2023,3969.73304258,2965.97585015
2024,3731.183074,2727.42588158
2025,3731.183074,2727.42588158
2026,3731.183074,2727.42588158
2027,3731.183074,2727.42588158
2028,3731.183074,2727.42588158
2029,3492.63310543,2488.875913
2030,3492.63310543,2488.875913
2031,3254.08313685,2250.32594443
2032,3254.08313685,2250.32594443
2033,3254.08313685,2250.32594443
2034,3254.08313685,2250.32594443
2035,3254.08313685,2250.32594443
2036,3254.08313685,2250.32594443
