year,Base case cost,Modeled transmission and interties
2021,246889.195955,2074007.46847
2022,252684.092826,2079377.73834
2023,257171.423223,2083485.68762
2024,260360.571595,2086637.35857
2025,264165.96541,2090088.39631
2026,268551.63095,2094172.51062
2027,272299.154001,2097865.31725
2028,275396.021964,2100929.25731
2029,280355.702929,2105501.03613
2030,282784.710983,2107628.34618
2031,287694.341557,2112445.80408
2032,292575.818786,2116945.64629
2033,297429.14267,2121709.4127
2034,303638.519343,2127421.1801
2035,306589.928357,2130347.45086
2036,311993.806545,2135355.84865
2037,315700.663652,2138650.35786
2038,321063.875898,2143909.12695
2039,325993.839443,2148386.514
2040,332772.539318,2154650.72863
