year,Base case diesel consumed,Modeled residential ashp
2017,89945.7763607,30676.8707436
2018,88462.1470399,29193.2414228
2019,88462.1470399,29193.2414228
2020,86978.5177191,27709.6121021
2021,85494.8883983,26225.9827813
2022,85494.8883983,26225.9827813
2023,84011.2590775,24742.3534605
2024,82527.6297567,23258.7241397
2025,81044.0004359,21775.0948189
2026,81044.0004359,21775.0948189
2027,79560.3711152,20291.4654981
2028,78076.7417944,18807.8361773
2029,76593.1124736,17324.2068565
2030,75109.4831528,15840.5775357
2031,73625.853832,14356.9482149
