year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5303.5152521,3447.28491386
2018,5300.96235783,3445.62553259
2019,5297.46663635,3443.35331363
2020,5293.96173763,3441.07512946
2021,5290.62742774,3438.90782803
2022,5287.00970285,3436.55630685
2023,5283.45513903,3434.24584037
2024,5279.69624649,3431.80256022
2025,5275.91926937,3429.34752509
2026,5272.02865634,3426.81862662
2027,5268.34561105,3424.42464719
2028,5264.77539192,3422.10400475
2029,5259.79862468,3418.86910604
2030,5255.35521746,3415.98089135
2031,5251.6640746,3413.58164849
