year,Base case diesel consumed,Modeled wind power
2019,410012.644126,340139.812865
2020,413883.732464,344010.901203
2021,417337.736319,347464.905058
2022,421263.553354,351390.722093
2023,425163.237537,355290.406276
2024,429072.453669,359199.622408
2025,433133.407226,363260.575965
2026,437239.40629,367366.575029
2027,441339.486427,371466.655166
2028,445602.775305,375729.944044
2029,449858.818736,379985.987475
2030,454264.464361,384391.6331
2031,458672.377743,388799.546482
2032,463228.086699,393355.255438
2033,467784.096758,397911.265497
2034,472415.125146,402542.293885
2035,477195.215756,407322.384495
2036,482050.100251,412177.26899
2037,487054.40326,417181.571999
2038,492208.027994,422335.196734
