year,Base case cost,Modeled wind power
2019,1152135.53,1400206.45181
2020,1233373.52274,1463257.72452
2021,1289573.60523,1505026.63086
2022,1339618.09967,1542013.65028
2023,1377528.88962,1568830.68149
2024,1411648.37257,1592627.18543
2025,1450996.91421,1621230.6917
2026,1495358.76951,1654421.41737
2027,1535861.41277,1684511.59433
2028,1572977.79683,1711970.32407
2029,1619491.74745,1747794.62018
2030,1653522.65027,1773071.94844
2031,1701674.52143,1810836.63466
2032,1755634.44859,1853960.96508
2033,1805646.61348,1893874.40231
2034,1861315.59307,1938989.48199
2035,1904008.91087,1973047.86809
2036,1961943.90802,2020697.61223
2037,2006664.14143,2057045.26452
2038,2067273.71758,2107625.7894
