year,Base case diesel consumed,Modeled transmission and interties
2021,900618.693969,450309.346985
2022,908237.130425,454118.565213
2023,916004.947988,458002.473994
2024,923922.146658,461961.073329
2025,931988.726435,465994.363217
2026,940204.687318,470102.343659
2027,948420.648202,474210.324101
2028,956935.3713,478467.68565
2029,965450.094398,482725.047199
2030,974263.579709,487131.789855
2031,983077.065021,491538.53251
2032,992189.312547,496094.656273
2033,1001301.56007,500650.780036
2034,1010563.1887,505281.594352
2035,1020123.57955,510061.789776
2036,1029833.35151,514916.675753
2037,1039841.88567,519920.942836
2038,1050149.18205,525074.591027
2039,1060456.47844,530228.239218
2040,1071062.53703,535531.268515
