year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,41033.0,30365.8124841
2018,41033.0,30365.8124841
2019,41033.0,30365.8124841
2020,41033.0,30365.8124841
2021,41033.0,30365.8124841
2022,41033.0,30365.8124841
2023,41033.0,30365.8124841
2024,41033.0,30365.8124841
2025,41033.0,30365.8124841
2026,41033.0,30365.8124841
2027,41033.0,30365.8124841
2028,41033.0,30365.8124841
2029,41033.0,30365.8124841
2030,41033.0,30365.8124841
2031,41033.0,30365.8124841
2032,,
2033,,
2034,,
2035,,
2036,,
