year,Base case cost,Modeled wind power
2019,130772.503447,
2020,136829.335186,
2021,141202.810636,
2022,144242.401471,
2023,146714.100837,
2024,148378.154911,
2025,151148.530649,
2026,153375.396663,
2027,156170.154146,
2028,157846.399092,
2029,160663.506507,
2030,162652.65051,
2031,165781.641076,
2032,168041.016082,
2033,171196.420205,
2034,174030.798023,
2035,176076.832763,
2036,178921.369641,
2037,180987.722502,
2038,183556.948847,
