year,Base case cost,Modeled water and wastewater efficiency
2017,64764.2161868,47441.708013
2018,69175.6620001,50303.3916895
2019,74974.8602523,54099.3907282
2020,77743.7760142,55863.3603092
2021,79502.2571926,56951.316585
2022,80882.7076983,57787.5861521
2023,81758.5757476,58287.1835154
2024,82507.5420432,58703.808929
2025,83507.0372554,59291.0588495
2026,84505.874267,59880.0142856
2027,85504.2059437,60470.7063743
2028,86250.2817156,60893.913832
2029,87246.8443715,61487.5670972
2030,87865.297184,61829.0602782
2031,88989.2256098,62511.7092495
