year,Base case cost,Modeled biomass for heat (cordwood)
2017,225303.676109,240749.041635
2018,239665.226109,250643.608606
2019,258540.406109,263895.605592
2020,267567.666109,269876.595318
2021,273312.286109,273444.714321
2022,277825.916109,276117.868981
2023,280698.226109,277592.02594
2024,283160.206109,278777.793133
2025,286442.846109,280585.787079
2026,289725.486109,282408.342063
2027,293008.126109,284245.116816
2028,295470.106109,285488.461812
2029,298752.746109,287352.684078
2030,300804.396109,288319.175162
2031,304497.366109,290513.231544
2032,,
2033,,
2034,,
2035,,
2036,,
