year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2009,,4271.46,315193.0,315193.0
2010,,4271.46,301810.0,301810.0
2011,,4271.46,331570.0,331570.0
2012,,4271.46,302800.0,302800.0
2013,,4271.46,376658.0,376658.0
2014,,4271.46,202550.0,202550.0
2015,,4271.46,126930.0,126930.0
2016,start of forecast,4271.46,270000.0,270000.0
2017,,4271.46,270000.0,270000.0
2018,,4271.46,270000.0,270000.0
2019,,4271.46,271000.0,271000.0
2020,,4271.46,271000.0,271000.0
2021,,4271.46,272000.0,272000.0
2022,,4271.46,272000.0,272000.0
2023,,4271.46,273000.0,273000.0
2024,,4271.46,273000.0,273000.0
2025,,4271.46,274000.0,274000.0
2026,,4271.46,274000.0,274000.0
2027,,4271.46,275000.0,275000.0
2028,,4271.46,275000.0,275000.0
2029,,4271.46,276000.0,276000.0
2030,,4271.46,277000.0,277000.0
2031,,4271.46,278000.0,278000.0
2032,,4271.46,278000.0,278000.0
2033,,4271.46,279000.0,279000.0
2034,,4271.46,279000.0,279000.0
2035,,4271.46,280000.0,280000.0
2036,,4271.46,280000.0,280000.0
2037,,4271.46,281000.0,281000.0
2038,,4271.46,281000.0,281000.0
2039,,4271.46,282000.0,282000.0
2040,,4271.46,282000.0,282000.0
