year,Base case diesel consumed,Modeled transmission and interties
2021,482646.772865,241323.386433
2022,482798.453183,241399.226592
2023,482950.133502,241475.066751
2024,483101.81382,241550.90691
2025,483253.494138,241626.747069
2026,483253.494138,241626.747069
2027,483405.174457,241702.587228
2028,483556.854775,241778.427388
2029,483708.535093,241854.267547
2030,483860.215412,241930.107706
2031,483860.215412,241930.107706
2032,484011.89573,242005.947865
2033,484163.576048,242081.788024
2034,484315.256367,242157.628183
2035,484466.936685,242233.468342
2036,484618.617003,242309.308502
2037,484770.297321,242385.148661
2038,484921.97764,242460.98882
2039,485073.657958,242536.828979
2040,485225.338276,242612.669138
