year,Base case diesel consumed,Modeled solar power (pv)
2016,241095.865955,237288.285182
2017,241171.706114,237394.585987
2018,241171.706114,237424.802948
2019,241247.546273,237530.618332
2020,241323.386433,237636.193915
2021,241323.386433,237665.691455
2022,241399.226592,237770.793174
2023,241475.066751,237875.660801
2024,241550.90691,237980.296208
2025,241626.747069,238084.701252
2026,241626.747069,238113.037619
2027,241702.587228,238216.987454
2028,241778.427388,238320.712411
2029,241854.267547,238424.21429
2030,241930.107706,238527.494875
2031,241930.107706,238554.715778
2032,242005.947865,238657.559072
2033,242081.788024,238760.186342
2034,242157.628183,238862.599314
2035,242233.468342,238964.799705
