year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,241171.71,2483.76,265202.36,185604.62
2018,241171.71,2502.66,265202.36,190004.58
2019,241247.55,2521.97,265202.36,195504.54
2020,241323.39,2541.6,265202.36,199904.5
2021,241323.39,2561.58,265202.36,205404.45
2022,241399.23,2582.0,265202.36,209804.42
2023,241475.07,2602.93,265202.36,215304.37
2024,241550.91,2624.32,265202.36,219704.33
2025,241626.75,2645.99,265202.36,225204.29
2026,241626.75,2667.83,265202.36,230704.24
2027,241702.59,2689.87,265202.36,236204.19
2028,241778.43,2712.17,265202.36,241704.15
2029,241854.27,2735.13,265202.36,247204.1
2030,241930.11,2758.42,265202.36,252704.05
2031,241930.11,2782.01,265202.36,258204.01
