year,Base case diesel consumed,Modeled diesel efficiency
2019,241247.546273,219315.951158
2020,241323.386433,219384.896757
2021,241323.386433,219384.896757
2022,241399.226592,219453.842356
2023,241475.066751,219522.787955
2024,241550.90691,219591.733555
2025,241626.747069,219660.679154
2026,241626.747069,219660.679154
2027,241702.587228,219729.624753
2028,241778.427388,219798.570352
2029,241854.267547,219867.515952
2030,241930.107706,219936.461551
2031,241930.107706,219936.461551
2032,242005.947865,220005.40715
2033,242081.788024,220074.352749
2034,242157.628183,220143.298348
2035,242233.468342,220212.243948
2036,242309.308502,220281.189547
2037,242385.148661,220350.135146
2038,242460.98882,220419.080745
