year,Base case diesel consumed,Modeled residential ashp
2017,2157916.02674,294715.385122
2018,2186176.12231,322975.480689
2019,2210750.11845,347549.476834
2020,2247611.11267,384410.471051
2021,2272185.10881,408984.467196
2022,2294301.70534,431101.063726
2023,2313960.90226,450760.260642
2024,2333620.09918,470419.457558
2025,2354507.9959,491307.354282
2026,2377853.29224,514652.650619
2027,2411028.18703,547827.545415
2028,2430687.38395,567486.742331
2029,2454032.68029,590832.038669
2030,2477377.97662,614177.335006
2031,2501951.97277,638751.331151
