year,Base case cost,Modeled non-residential energy efficiency
2017,13484231.7169,15828631.8905
2018,15091267.3498,17248688.6262
2019,17323261.2845,19220989.6482
2020,18394618.3731,20167694.1387
2021,19108856.4322,20798830.4657
2022,19644534.9765,21272182.711
2023,20046293.8847,21627196.8949
2024,20358773.0356,21903319.038
2025,20715892.0651,22218887.2015
2026,21162290.8521,22613347.4059
2027,21564049.7603,22968361.5898
2028,21876528.9111,23244483.7329
2029,22278287.8194,23599497.9169
2030,22546127.0915,23836174.0395
2031,22992525.8785,24230634.2439
