year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,84111.81,13022703.52,11165213.52,6007.57,461528.2,207960.24
2018,90391.85,13910589.55,11990969.71,15468.39,1180677.8,537919.1
2019,98943.17,15143764.59,13080165.24,28721.3,2179496.7,1002480.61
2020,103616.45,15735688.61,13764012.65,35333.09,2658929.77,1240380.89
2021,106765.91,16130304.62,14228398.06,39799.92,2978551.81,1402463.16
2022,109238.14,16426266.63,14604607.09,43220.05,3218268.35,1527956.6
2023,111187.92,16648238.14,14909563.72,45843.12,3398055.75,1625161.63
2024,112818.27,16820882.64,15177277.55,47946.26,3537890.39,1704373.02
2025,114648.22,17018190.65,15475762.64,50349.58,3697701.42,1795058.31
2026,116851.66,17264825.66,15834517.14,53333.63,3897465.2,1908169.07
2027,119178.52,17486797.16,16242791.21,56208.71,4077252.6,2020177.89
2028,120847.66,17659441.67,16522143.03,58390.25,4217087.24,2104164.08
2029,122963.71,17881413.18,16871527.1,61196.4,4396874.64,2212073.49
2030,124588.63,18029394.18,17160368.46,63192.91,4516732.91,2291072.97
2031,126900.41,18276029.19,17546613.29,66326.05,4716496.69,2412954.66
2032,,,17941448.82,,,2544733.25
2033,,,18291981.45,,,2664501.68
2034,,,18667808.49,,,2796004.7
2035,,,19003207.15,,,2892954.73
2036,,,19431720.65,,,3033535.17
