year,annotation,Average Load
2003,,238.0
2004,,255.0
2005,,247.0
2006,,269.0
2007,,299.0
2008,,329.0
2009,,273.0
2010,,302.0
2011,,334.0
2012,,388.0
2013,,374.0
2014,start of forecast,370.0
2015,,370.0
2016,,370.0
2017,,370.0
2018,,369.0
2019,,369.0
2020,,369.0
2021,,369.0
2022,,369.0
2023,,369.0
2024,,369.0
2025,,369.0
2026,,369.0
2027,,369.0
2028,,369.0
2029,,368.0
2030,,367.0
2031,,367.0
2032,,367.0
2033,,367.0
2034,,367.0
2035,,368.0
2036,,367.0
2037,,367.0
2038,,366.0
2039,,366.0
2040,,366.0
