year,Base case cost,"Iliamna (unnamed stream, site #1) -- unnamed creek"
2021,24346.4146038,233305.227906
2022,24967.2211846,233677.515539
2023,25394.1790702,233933.555255
2024,25745.0697464,234143.9787
2025,26167.1200701,234397.075431
2026,26679.960289,234704.617389
2027,27114.2795175,234965.071584
2028,27465.1701936,235175.495029
2029,27946.1112601,235463.907583
2030,28240.5649743,235640.486697
2031,28758.3127552,235950.971641
2032,29293.2370027,236271.757032
2033,29813.4385644,236583.713468
2034,30363.0854977,236913.327816
2035,30713.9761738,237123.751261
2036,31283.2533546,237465.137549
2037,31621.8751259,237668.203531
2038,32181.3371829,238003.703849
2039,32605.8412876,238258.272073
2040,33219.2865256,238626.145228
2041,33219.2865256,238626.145228
2042,33219.2865256,238626.145228
2043,33219.2865256,238626.145228
2044,33219.2865256,238626.145228
2045,33219.2865256,238626.145228
2046,33219.2865256,238626.145228
2047,33219.2865256,238626.145228
2048,33219.2865256,238626.145228
2049,33219.2865256,238626.145228
2050,33219.2865256,238626.145228
