year,Base case diesel consumed,Modeled transmission and interties
2021,261271.054248,130635.527124
2022,262306.083891,131153.041946
2023,263488.974912,131744.487456
2024,264524.004555,132262.002278
2025,265559.034199,132779.517099
2026,266741.92522,133370.96261
2027,268072.677618,134036.338809
2028,269403.430017,134701.715008
2029,270586.321038,135293.160519
2030,271769.212059,135884.606029
2031,272952.10308,136476.05154
2032,274134.9941,137067.49705
2033,275170.023744,137585.011872
2034,276352.914765,138176.457382
2035,277979.389918,138989.694959
2036,279162.280939,139581.14047
2037,280345.17196,140172.58598
2038,281528.062981,140764.031491
2039,282858.81538,141429.40769
2040,284189.567778,142094.783889
