year,Base case diesel consumed,Modeled non-residential ashp
2017,261284.661637,220316.83435
2018,261284.661637,220316.83435
2019,261284.661637,220316.83435
2020,261284.661637,220316.83435
2021,261284.661637,220316.83435
2022,261284.661637,220316.83435
2023,261284.661637,220316.83435
2024,261284.661637,220316.83435
2025,261284.661637,220316.83435
2026,261284.661637,220316.83435
2027,261284.661637,220316.83435
2028,261284.661637,220316.83435
2029,261284.661637,220316.83435
2030,261284.661637,220316.83435
2031,261284.661637,220316.83435
