year,Base case cost,Wainwright wind turbine design,Modeled wind power
2019,1577088.19244,1829355.58474,1853590.08966
2020,1678196.41138,1915761.08929,1932355.14435
2021,1755181.14678,1982127.19761,1993203.15
2022,1816822.48918,2035600.36535,2042431.62338
2023,1863312.85288,2076373.00678,2080232.97876
2024,1899563.55759,2108539.62416,2110277.24896
2025,1946809.67777,2150068.02208,2148834.36082
2026,1999714.09479,2196437.89937,2191808.48262
2027,2042814.16271,2234637.06249,2227460.82912
2028,2085986.66034,2272908.65532,2263185.60533
2029,2138424.30811,2318811.76336,2305692.95788
2030,2170125.84166,2347246.02704,2332429.34382
2031,2224172.30696,2394757.95261,2376545.5139
2032,2285916.80683,2449151.09528,2427118.43164
2033,2343093.84521,2499793.59393,2474365.1748
2034,2406267.18575,2555615.57727,2526366.93321
2035,2447641.37802,2592905.68221,2561534.69097
2036,2511175.40389,2649088.35088,2613897.13471
2037,2551960.6475,2685789.50715,2648475.94381
2038,2616458.20801,2742935.71047,2701801.9222
