year,Base case diesel consumed,Modeled solar power
2020,446494.998839,441606.939238
2021,446645.10642,441796.151295
2022,446720.16021,441909.996727
2023,446645.10642,441873.424244
2024,446645.10642,441911.597701
2025,446645.10642,441949.465771
2026,446795.214,442137.138477
2027,446870.267791,442249.456872
2028,447020.375371,442436.53094
2029,447095.429162,442548.255486
2030,447095.429162,442584.632875
2031,447170.482952,442695.773036
2032,447245.536743,442806.624505
2033,447245.536743,442842.135803
2034,447320.590533,442952.416801
2035,447320.590533,442987.362191
2036,447320.590533,443022.028018
2037,447245.536743,442981.362727
2038,447170.482952,442940.422329
2039,447170.482952,442974.262814
