year,Base case cost,Modeled solar power
2020,1852954.24518,1870770.35591
2021,1929506.85973,1945851.17696
2022,1983437.51133,1998581.67473
2023,2018835.88102,2032997.44033
2024,2050101.03847,2063350.41482
2025,2085832.64698,2098144.71828
2026,2131213.17078,2142516.88668
2027,2171789.50146,2182154.19881
2028,2203810.45058,2213349.71517
2029,2244419.05439,2253061.92349
2030,2271244.78014,2279147.57974
2031,2316343.10169,2323345.23865
2032,2361456.434,2367578.76129
2033,2410653.44304,2415872.34819
2034,2460263.24793,2464599.43482
2035,2491575.68927,2495222.76922
2036,2540780.95423,2543584.08091
2037,2571661.83627,2573811.0531
2038,2620419.0301,2621761.48638
2039,2656192.66874,2656872.95546
