year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6464.22891389,4201.74879403
2018,6477.32805811,4210.26323777
2019,6489.45120918,4218.14328597
2020,6500.71899544,4225.46734704
2021,6514.0360932,4234.12346058
2022,6519.71110964,4237.81222127
2023,6515.74133969,4235.2318708
2024,6514.80098672,4234.62064137
2025,6514.22388964,4234.24552827
2026,6525.78639294,4241.76115541
2027,6532.81847853,4246.33201105
2028,6547.70237431,4256.0065433
2029,6554.59326987,4260.48562542
2030,6558.66036499,4263.12923724
2031,6563.94333923,4266.5631705
