year,Base case diesel consumed,"Galena, alaska heat recovery study"
2019,695919.0,609633.0
2020,697230.0,610944.0
2021,697243.0,610957.0
2022,697249.0,610963.0
2023,697245.0,610959.0
2024,697244.0,610958.0
2025,697243.0,610957.0
2026,697255.0,610969.0
2027,698560.0,612274.0
2028,698575.0,612289.0
2029,698582.0,612296.0
2030,698586.0,612300.0
2031,699890.0,613604.0
2032,699895.0,613609.0
2033,699899.0,613613.0
2034,699902.0,613616.0
2035,699903.0,613617.0
2036,699902.0,613616.0
2037,699897.0,613611.0
2038,699893.0,613607.0
