year,Base case diesel consumed,Modeled wind power
2019,446344.891258,383957.008915
2020,446494.998839,384107.116495
2021,446645.10642,384257.224076
2022,446720.16021,384332.277866
2023,446645.10642,384257.224076
2024,446645.10642,384257.224076
2025,446645.10642,384257.224076
2026,446795.214,384407.331657
2027,446870.267791,384482.385447
2028,447020.375371,384632.493028
2029,447095.429162,384707.546818
2030,447095.429162,384707.546818
2031,447170.482952,384782.600609
2032,447245.536743,384857.654399
2033,447245.536743,384857.654399
2034,447320.590533,384932.708189
2035,447320.590533,384932.708189
2036,447320.590533,384932.708189
2037,447245.536743,384857.654399
2038,447170.482952,384782.600609
