year,Base case diesel consumed,Galena (kalakaket creek)
2021,446645.10642,393333.253688
2022,446720.16021,393408.307478
2023,446645.10642,393333.253688
2024,446645.10642,393333.253688
2025,446645.10642,393333.253688
2026,446795.214,393483.361269
2027,446870.267791,393558.415059
2028,447020.375371,393708.52264
2029,447095.429162,393783.57643
2030,447095.429162,393783.57643
2031,447170.482952,393858.630221
2032,447245.536743,393933.684011
2033,447245.536743,393933.684011
2034,447320.590533,394008.737801
2035,447320.590533,394008.737801
2036,447320.590533,394008.737801
2037,447245.536743,393933.684011
2038,447170.482952,393858.630221
2039,447170.482952,393858.630221
2040,447095.429162,393783.57643
2041,447020.375371,393708.52264
2042,446945.321581,393633.468849
2043,446795.214,393483.361269
2044,446645.10642,393333.253688
2045,446494.998839,393183.146107
2046,446344.891258,393033.038527
2047,446119.729887,392807.877156
2048,445894.568516,392582.715784
2049,445669.407145,392357.554413
2050,445444.245774,392132.393042
2051,445444.245774,392132.393042
2052,445444.245774,392132.393042
2053,445444.245774,392132.393042
2054,445444.245774,392132.393042
2055,445444.245774,392132.393042
2056,445444.245774,392132.393042
2057,445444.245774,392132.393042
2058,445444.245774,392132.393042
2059,445444.245774,392132.393042
2060,445444.245774,392132.393042
2061,445444.245774,392132.393042
2062,445444.245774,392132.393042
2063,445444.245774,392132.393042
2064,445444.245774,392132.393042
2065,445444.245774,392132.393042
2066,445444.245774,392132.393042
2067,445444.245774,392132.393042
2068,445444.245774,392132.393042
2069,445444.245774,392132.393042
2070,445444.245774,392132.393042
