year,Base case cost,Galena (kalakaket creek)
2021,1929506.85973,2922519.09321
2022,1983437.51133,2947332.19098
2023,2018835.88102,2956080.46966
2024,2050101.03847,2961710.15192
2025,2085832.64698,2971848.36051
2026,2131213.17078,2991185.31786
2027,2171789.50146,3006695.98218
2028,2203810.45058,3015097.50136
2029,2244419.05439,3031601.49373
2030,2271244.78014,3036226.32516
2031,2316343.10169,3057656.56327
2032,2361456.434,3079544.03155
2033,2410653.44304,3105467.02612
2034,2460263.24793,3132224.54987
2035,2491575.68927,3143016.58065
2036,2540780.95423,3170183.60954
2037,2571661.83627,3181339.04707
2038,2620419.0301,3208834.33881
2039,2656192.66874,3225160.66615
2040,2709398.30072,3257364.76043
2041,2708943.47475,3242025.68397
2042,2708488.64878,3227035.45714
2043,2707578.99684,3211931.07765
2044,2706669.3449,3197159.3872
2045,2705759.69296,3182712.58828
2046,2704850.04102,3168583.06624
2047,2703485.56312,3154308.55899
2048,2702121.08521,3140336.63044
2049,2700756.6073,3126660.18906
2050,2699392.12939,3113272.30933
2051,2699392.12939,3101530.70601
2052,2699392.12939,3090064.29646
2053,2699392.12939,3078866.63099
2054,2699392.12939,3067931.41072
2055,2699392.12939,3057252.48468
2056,2699392.12939,3046823.84598
2057,2699392.12939,3036639.62847
2058,2699392.12939,3026694.10365
2059,2699392.12939,3016981.67699
2060,2699392.12939,3007496.8853
2061,2699392.12939,2998234.39349
2062,2699392.12939,2989188.99126
2063,2699392.12939,2980355.59067
2064,2699392.12939,2971729.22293
2065,2699392.12939,2963305.03575
2066,2699392.12939,2955078.29028
2067,2699392.12939,2947044.35929
2068,2699392.12939,2939198.72351
2069,2699392.12939,2931536.96989
2070,2699392.12939,2924054.78859
