year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,9467802
2004,,0,0,0,0,0,9501236
2005,,0,0,0,0,0,8149150
2006,,0,0,0,0,0,8640322
2007,,0,0,0,0,0,8171830
2008,,0,0,0,0,0,7164277
2009,,0,0,0,0,0,6181849
2010,,0,0,0,0,0,0
2011,,0,0,0,0,0,0
2012,,0,0,0,0,0,5902679
2013,,0,0,0,0,0,5615133
2014,start of forecast,0,0,0,0,0,5938000
2015,,0,0,0,0,0,5939000
2016,,0,0,0,0,0,5941000
2017,,0,0,0,0,0,5944000
2018,,0,0,0,0,0,5946000
2019,,0,0,0,0,0,5947000
2020,,0,0,0,0,0,5949000
2021,,0,0,0,0,0,5951000
2022,,0,0,0,0,0,5952000
2023,,0,0,0,0,0,5951000
2024,,0,0,0,0,0,5951000
2025,,0,0,0,0,0,5951000
2026,,0,0,0,0,0,5953000
2027,,0,0,0,0,0,5954000
2028,,0,0,0,0,0,5956000
2029,,0,0,0,0,0,5957000
2030,,0,0,0,0,0,5957000
2031,,0,0,0,0,0,5958000
2032,,0,0,0,0,0,5959000
2033,,0,0,0,0,0,5959000
2034,,0,0,0,0,0,5960000
2035,,0,0,0,0,0,5960000
2036,,0,0,0,0,0,5960000
2037,,0,0,0,0,0,5959000
2038,,0,0,0,0,0,5958000
2039,,0,0,0,0,0,5958000
2040,,0,0,0,0,0,5957000
