year,Base case cost,Modeled residential energy efficiency
2017,414385.139497,409938.482027
2018,441381.730174,434042.418715
2019,475995.125825,465034.99207
2020,497739.46909,484671.83138
2021,516036.936843,501295.22502
2022,533069.153153,516837.265246
2023,547097.955067,529725.440522
2024,561284.394151,542788.255781
2025,576481.788166,556795.595644
2026,592737.428264,571794.362098
2027,607444.070012,585426.034585
2028,622308.348931,599230.808218
2029,639163.010277,614874.996524
2030,652509.818281,627358.217649
2031,681414.508754,654998.549977
2032,698994.301087,671411.083203
2033,716794.785459,688058.043236
2034,734815.961869,704939.108164
2035,751004.393023,720166.595607
2036,770477.908443,738442.854888
