year,Base case diesel consumed,Modeled residential energy efficiency
2017,48352.2418933,40048.7777269
2018,49594.7977048,41291.3335384
2019,50837.3535162,42533.8893498
2020,52079.9093276,43776.4451612
2021,53322.465139,45019.0009726
2022,54565.0209504,46261.556784
2023,55807.5767618,47504.1125954
2024,57050.1325732,48746.6684068
2025,58292.6883846,49989.2242182
2026,59535.244196,51231.7800296
2027,60777.8000074,52474.3358411
2028,62020.3558189,53716.8916525
2029,63262.9116303,54959.4474639
2030,64505.4674417,56202.0032753
2031,66990.5790645,58687.1148981
2032,68233.1348759,59929.6707095
2033,69475.6906873,61172.2265209
2034,70718.2464987,62414.7823323
2035,71960.8023101,63657.3381437
2036,73203.3581216,64899.8939552
