year,Base case cost,Modeled water and wastewater efficiency
2017,148862.669511,47990.8716196
2018,156351.231069,47946.2016915
2019,166517.489567,48148.4943134
2020,171349.880256,47911.9264814
2021,174700.766436,47564.6823188
2022,177461.023638,47182.8116422
2023,179035.699768,46714.780033
2024,180614.132565,46262.5137166
2025,182492.977244,45850.9980026
2026,184673.002401,45480.1234282
2027,186259.098515,45071.9510417
2028,187846.275313,44677.3638698
2029,190046.244577,44352.5016212
2030,191052.887767,43936.9010771
2031,193547.4578,43661.5994211
