year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,252.92,1384.98,6176.75
2018,,251.73,1384.98,6176.75
2019,,250.07,1384.98,6176.75
2020,,248.65,1384.98,6176.75
2021,,247.65,1384.98,6176.75
2022,,246.72,1384.98,6176.75
2023,,246.15,1384.98,6176.75
2024,,245.74,1384.98,6176.75
2025,,245.59,1384.98,6176.75
2026,,245.73,1384.98,6176.75
2027,,246.35,1384.98,6176.75
2028,,247.37,1384.98,6176.75
2029,,247.53,1384.98,6176.75
2030,,248.37,1384.98,6176.75
2031,,250.09,1384.98,6176.75
2032,,252.98,1384.98,6176.75
2033,,256.43,1384.98,6176.75
2034,,260.21,1384.98,6176.75
2035,,264.17,1384.98,6176.75
2036,,268.26,1384.98,7154.38
2037,,272.53,1384.98,7154.38
2038,,277.22,1384.98,7154.38
2039,,282.42,1384.98,7154.38
2040,,288.06,1384.98,7154.38
