year,Base case diesel consumed,Modeled wind power
2019,148921.919738,123017.62341
2020,150582.560822,124678.264494
2021,151990.051749,126085.755421
2022,153373.106906,127468.810578
2023,154831.836575,128927.540247
2024,156173.263666,130268.967338
2025,157517.668864,131613.372537
2026,158799.191971,132894.895643
2027,160146.643156,134242.346828
2028,161421.104213,135516.807885
2029,162847.246262,136942.949934
2030,164346.594013,138442.297685
2031,165696.578858,139792.28253
2032,166896.742593,140992.446265
2033,168021.580223,142117.283895
2034,169221.57624,143317.279912
2035,170421.574754,144517.278426
2036,171696.516355,145792.220027
2037,173046.491999,147142.195671
2038,174321.463918,148417.16759
