year,Base case cost,Modeled non-residential energy efficiency
2017,1368798.88842,1409924.36965
2018,1436380.60388,1471898.95665
2019,1526489.55783,1554531.73931
2020,1569041.00831,1593552.77557
2021,1599077.32629,1621097.03646
2022,1619101.53828,1639459.87705
2023,1636622.72377,1655527.36257
2024,1649137.85627,1667004.13794
2025,1664156.01526,1680776.26838
2026,1681677.20075,1696843.7539
2027,1696695.35974,1710615.88435
2028,1709210.49223,1722092.65972
2029,1726731.67772,1738160.14524
2030,1736743.78372,1747341.56553
2031,1754264.96921,1763409.05105
