year,Base case cost,Modeled wind power
2019,424427.471254,565715.334193
2020,454759.333683,592302.219471
2021,477248.762493,612148.134999
2022,493861.404237,626998.434554
2023,509396.742331,640991.723234
2024,521618.700644,652112.217678
2025,535560.074139,664731.834533
2026,551033.196138,678662.907117
2027,565317.65034,691625.604678
2028,577887.553081,703094.043551
2029,594392.448856,718056.889911
2030,606438.931907,729222.201867
2031,623019.136507,744260.357053
2032,640883.491558,760362.369915
2033,658644.594476,776361.130645
2034,676886.304961,792840.498942
2035,690207.377755,805060.107868
2036,709106.612545,822197.00047
2037,721603.871635,833813.088465
2038,742609.436291,852836.01816
