year,Base case diesel consumed,"Goodnews bay (stream s of chawekat mountain) -- unnamed creek, s of chawekat moutain","Goodnews (unnamed tributary to sphinx creek) -- sphinx creek, tributary"
2021,54433.6009107,27144.3896761,41070.0186109
2022,54807.9723063,27518.7610716,41444.3900065
2023,55107.4694227,27818.2581881,41743.8871229
2024,55406.9665391,28117.7553045,42043.3842393
2025,55706.4636555,28417.2524209,42342.8813557
2026,56080.8350511,28791.6238165,42717.2527513
2027,56455.2064466,29165.995212,43091.6241468
2028,56829.5778421,29540.3666075,43465.9955423
2029,57428.572075,30139.3608404,44064.9897752
2030,58027.5663079,30738.3550732,44663.9840081
2031,58551.6862616,31262.475027,45188.1039618
2032,58926.0576571,31636.8464225,45562.4753573
2033,59450.1776109,32160.9663763,46086.5953111
2034,59824.5490064,32535.3377718,46460.9667066
2035,60648.1660766,33358.954842,47284.5837768
2036,61097.4117512,33808.2005166,47733.8294514
2037,61471.7831468,34182.5719121,48108.200847
2038,61995.9031005,34706.6918659,48632.3208007
2039,62370.2744961,35081.0632614,49006.6921963
2040,62969.2687289,35680.0574943,49605.6864291
2041,63418.5144036,36129.3031689,50054.9321038
2042,63867.7600782,36578.5488436,50504.1777784
2043,64317.0057528,37027.7945182,50953.423453
2044,64766.2514275,37477.0401929,51402.6691277
2045,65215.4971021,37926.2858675,51851.9148023
2046,66263.7370096,38974.525775,52900.1547098
2047,66787.8569634,39498.6457287,53424.2746636
2048,67311.9769171,40022.7656825,53948.3946173
2049,67836.0968709,40546.8856362,54472.5145711
2050,68360.2168246,41071.00559,54996.6345248
2051,68360.2168246,41071.00559,54996.6345248
2052,68360.2168246,41071.00559,54996.6345248
2053,68360.2168246,41071.00559,54996.6345248
2054,68360.2168246,41071.00559,54996.6345248
2055,68360.2168246,41071.00559,54996.6345248
2056,68360.2168246,41071.00559,54996.6345248
2057,68360.2168246,41071.00559,54996.6345248
2058,68360.2168246,41071.00559,54996.6345248
2059,68360.2168246,41071.00559,54996.6345248
2060,68360.2168246,41071.00559,54996.6345248
2061,68360.2168246,41071.00559,54996.6345248
2062,68360.2168246,41071.00559,54996.6345248
2063,68360.2168246,41071.00559,54996.6345248
2064,68360.2168246,41071.00559,54996.6345248
2065,68360.2168246,41071.00559,54996.6345248
2066,68360.2168246,41071.00559,54996.6345248
2067,68360.2168246,41071.00559,54996.6345248
2068,68360.2168246,41071.00559,54996.6345248
2069,68360.2168246,41071.00559,54996.6345248
2070,68360.2168246,41071.00559,54996.6345248
