year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,10447.84,676516.0,676516.0
2004,,10447.84,707423.0,707423.0
2005,,10447.84,705286.0,705286.0
2006,,10447.84,682515.0,682515.0
2007,,10447.84,676151.0,676151.0
2008,,10447.84,703073.0,703073.0
2009,,10447.84,753804.0,753804.0
2010,,10447.84,757710.0,757710.0
2011,,10447.84,787484.0,787484.0
2012,,10447.84,845826.0,845826.0
2013,,10447.84,742886.0,742886.0
2014,,10447.84,686252.0,686252.0
2015,,10447.84,680650.0,680650.0
2016,start of forecast,10447.84,697000.0,697000.0
2017,,10447.84,703000.0,703000.0
2018,,10447.84,710000.0,710000.0
2019,,10447.84,715000.0,715000.0
2020,,10447.84,720000.0,720000.0
2021,,10447.84,727000.0,727000.0
2022,,10447.84,732000.0,732000.0
2023,,10447.84,736000.0,736000.0
2024,,10447.84,740000.0,740000.0
2025,,10447.84,744000.0,744000.0
2026,,10447.84,749000.0,749000.0
2027,,10447.84,754000.0,754000.0
2028,,10447.84,759000.0,759000.0
2029,,10447.84,767000.0,767000.0
2030,,10447.84,775000.0,775000.0
2031,,10447.84,782000.0,782000.0
2032,,10447.84,787000.0,787000.0
2033,,10447.84,794000.0,794000.0
2034,,10447.84,799000.0,799000.0
2035,,10447.84,810000.0,810000.0
2036,,10447.84,816000.0,816000.0
2037,,10447.84,821000.0,821000.0
2038,,10447.84,828000.0,828000.0
2039,,10447.84,833000.0,833000.0
2040,,10447.84,841000.0,841000.0
