year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,52636.62,5068.4,33047.59,36987.87
2018,53160.74,5075.82,33047.59,37891.41
2019,53535.11,5081.98,33047.59,38794.95
2020,53909.48,5087.79,33047.59,38794.95
2021,54433.6,5095.82,33047.59,39698.5
2022,54807.97,5100.69,33047.59,40602.04
2023,55107.47,5105.17,33047.59,40602.04
2024,55406.97,5109.49,33047.59,41505.58
2025,55706.46,5114.12,33047.59,41505.58
2026,56080.84,5120.4,33047.59,42409.12
2027,56455.21,5125.84,33047.59,43312.67
2028,56829.58,5131.28,33047.59,43312.67
2029,57428.57,5140.5,33047.59,44216.21
2030,58027.57,5149.26,33047.59,46023.29
2031,58551.69,5156.78,33047.59,46023.29
2032,58926.06,,,46926.83
2033,59450.18,,,47830.38
2034,59824.55,,,48733.92
2035,60648.17,,,49637.46
2036,61097.41,,,50541.0
