year,Base case diesel consumed,Modeled diesel efficiency
2019,53535.1095614,48668.2814195
2020,53909.480957,49008.6190518
2021,54433.6009107,49485.091737
2022,54807.9723063,49825.4293693
2023,55107.4694227,50097.6994752
2024,55406.9665391,50369.969581
2025,55706.4636555,50642.2396869
2026,56080.8350511,50982.5773192
2027,56455.2064466,51322.9149515
2028,56829.5778421,51663.2525838
2029,57428.572075,52207.7927955
2030,58027.5663079,52752.3330071
2031,58551.6862616,53228.8056924
2032,58926.0576571,53569.1433247
2033,59450.1776109,54045.6160099
2034,59824.5490064,54385.9536422
2035,60648.1660766,55134.6964333
2036,61097.4117512,55543.101592
2037,61471.7831468,55883.4392243
2038,61995.9031005,56359.9119096
