year,Base case diesel consumed,Modeled residential ashp
2017,42838.4986388,5850.62832285
2018,43884.9603364,6897.09002048
2019,44931.422034,7943.5517181
2020,44931.422034,7943.5517181
2021,45977.8837317,8990.01341572
2022,47024.3454293,10036.4751133
2023,47024.3454293,10036.4751133
2024,48070.8071269,11082.936811
2025,48070.8071269,11082.936811
2026,49117.2688245,12129.3985086
2027,50163.7305221,13175.8602062
2028,50163.7305221,13175.8602062
2029,51210.1922198,14222.3219038
2030,53303.115615,16315.2452991
2031,53303.115615,16315.2452991
