year,Base case cost,Modeled non-residential energy efficiency
2017,287872.8493,300958.544137
2018,301620.631665,312193.120669
2019,320867.526976,328406.421822
2020,330216.018984,335732.539239
2021,336265.043224,340113.121185
2022,341214.244876,343528.321942
2023,344513.712643,345482.367127
2024,347263.269116,346965.061721
2025,350562.736884,348966.224113
2026,354412.115946,351485.308694
2027,357711.583714,353531.40556
2028,360461.140187,355103.994375
2029,363760.607954,357192.944087
2030,365960.253133,358312.192843
2031,370359.54349,361432.387314
