year,Base case cost,"Goodnews bay (stream s of chawekat mountain) -- unnamed creek, s of chawekat moutain","Goodnews (unnamed tributary to sphinx creek) -- sphinx creek, tributary"
2021,166022.482778,633486.197076,1102165.78382
2022,172097.033042,626572.786841,1087863.38963
2023,176343.902153,618821.478291,1072546.52968
2024,180072.641252,611044.427764,1057273.48026
2025,184388.3947,603849.523582,1042898.35931
2026,189553.222473,597493.180285,1029673.11924
2027,194205.910176,591100.145657,1016467.35156
2028,198335.226669,584653.804692,1003260.18588
2029,203871.430866,579587.683417,991731.791346
2030,208318.963045,574138.300427,979738.43009
2031,214884.68858,570033.081509,969755.961214
2032,220383.455638,565310.666191,959192.156989
2033,226505.176697,561410.44745,949608.030183
2034,232717.495635,557549.66194,940342.525985
2035,238953.774342,554640.061516,931802.19412
2036,245611.59524,551600.349724,923654.614635
2037,250190.157407,547399.802074,914113.229107
2038,256663.038836,544779.061494,906542.320563
2039,261955.152883,541396.106599,898220.391231
2040,270138.162847,540335.599919,892730.499813
2041,272065.426791,535395.795204,882362.980912
2042,273992.690735,530616.937406,872283.620974
2043,275919.95468,525995.254364,862485.666334
2044,277847.218624,521527.062242,852962.52146
2045,279774.482568,517208.763646,843707.745587
2046,284271.431771,515606.530673,837284.734016
2047,286519.906373,511898.772695,828869.18445
2048,288768.380974,508330.613919,820703.572951
2049,291016.855576,504898.782434,812782.0415
2050,293265.330178,501600.083161,805098.869634
2051,293265.330178,496182.921182,795399.996144
2052,293265.330178,490892.723933,785928.439995
2053,293265.330178,485726.515702,776678.873479
2054,293265.330178,480681.390433,767646.0936
2055,293265.330178,475754.510304,758825.01953
2056,293265.330178,470943.103933,750210.68939
2057,293265.330178,466244.464904,741798.257625
2058,293265.330178,461655.950209,733582.992195
2059,293265.330178,457174.978864,725560.272115
2060,293265.330178,452799.030255,717725.584483
2061,293265.330178,448525.642945,710074.522348
2062,293265.330178,444352.413151,702602.781985
2063,293265.330178,440276.993419,695306.160515
2064,293265.330178,436297.091373,688180.553676
2065,293265.330178,432410.468252,681221.953195
2066,293265.330178,428614.937847,674426.44489
2067,293265.330178,424908.365217,667790.206365
2068,293265.330178,421288.665354,661309.504628
2069,293265.330178,417753.802215,654980.694355
2070,293265.330178,414301.787442,648800.215591
