year,Base case cost,Modeled solar power (pv)
2016,94981.0180183,101701.862038
2017,114221.46152,120465.555927
2018,128648.986361,134513.943918
2019,148292.253485,153697.76523
2020,158493.874014,163605.52898
2021,166022.482778,170898.250425
2022,172097.033042,176759.227913
2023,176343.902153,180822.82507
2024,180072.641252,184381.007247
2025,184388.3947,188521.884929
2026,189553.222473,193507.628814
2027,194205.910176,197993.604871
2028,198335.226669,201968.29501
2029,203871.430866,207345.467993
2030,208318.963045,211653.794354
2031,214884.68858,218051.821469
2032,220383.455638,223394.642177
2033,226505.176697,229364.04973
2034,232717.495635,235419.824725
2035,238953.774342,241526.330969
