year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.11
2004,,1.65,3.11
2005,,1.85,3.61
2008,,3.06,4.71
2009,,3.8,6.14
2010,,2.51,4.11
2011,,3.06,4.27
2012,,4.13,5.55
2013,,4.13,5.65
2014,,3.94,5.44
2016,start of forecast,1.82,4.02
2017,,2.17,4.37
2018,,2.42,4.62
2019,,2.77,4.97
2020,,2.94,5.14
2021,,3.05,5.25
2022,,3.14,5.34
2023,,3.2,5.4
2024,,3.25,5.45
2025,,3.31,5.51
2026,,3.38,5.58
2027,,3.44,5.64
2028,,3.49,5.69
2029,,3.55,5.75
2030,,3.59,5.79
2031,,3.67,5.87
2032,,3.74,5.94
2033,,3.81,6.01
2034,,3.89,6.09
2035,,3.94,6.14
2036,,4.02,6.22
2037,,4.07,6.27
2038,,4.14,6.34
2039,,4.2,6.4
2040,,4.29,6.49
