year,Base case cost,Modeled non-residential energy efficiency
2017,1761130.0993,1715233.19243
2018,1865734.49085,1807453.2095
2019,2005948.88803,1931067.27493
2020,2068266.39789,1986006.85957
2021,2112778.90493,2025249.42002
2022,2146163.28521,2054681.34036
2023,2170645.16408,2076264.74861
2024,2188450.1669,2091961.77279
2025,2210706.42042,2111583.05302
2026,2237413.92465,2135128.58929
2027,2259670.17817,2154749.86952
2028,2279700.80634,2172409.02172
2029,2304182.68521,2193992.42997
2030,2319762.06268,2207727.32613
2031,2346469.5669,2231272.86241
