year,annotation,Average Load
2003,,182.0
2004,,157.0
2005,,161.0
2006,,167.0
2007,,168.0
2008,,184.0
2009,,187.0
2010,,195.0
2011,,209.0
2012,,222.0
2013,,215.0
2014,start of forecast,219.0
2015,,222.0
2016,,225.0
2017,,228.0
2018,,231.0
2019,,234.0
2020,,237.0
2021,,241.0
2022,,244.0
2023,,248.0
2024,,252.0
2025,,255.0
2026,,259.0
2027,,263.0
2028,,267.0
2029,,271.0
2030,,275.0
2031,,279.0
2032,,283.0
2033,,287.0
2034,,292.0
2035,,296.0
2036,,300.0
2037,,305.0
2038,,310.0
2039,,314.0
2040,,319.0
